jojoni_1,siegel,0,19-jan-04,scopal-adv-lex,徐々に,徐々に,,"jojoni_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hiyayaka_1,siegel,0,19-jan-04,na-adj-lex,冷やか,冷やか,,"hiyayaka_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kokorobosoi_1,siegel,0,19-jan-04,i-adj-stem-lex,心細い,心細い,,"kokorobosoi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
musuu_2,siegel,0,19-jan-04,na-adj-lex,無数,無数,,"musuu_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hokorashige_1,siegel,0,19-jan-04,na-adj-lex,誇らしげ,誇らしげ,,"hokorashige_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
zungurimukkuri_2,siegel,0,19-jan-04,scopal-adv-lex,ずんぐりむっくり,ずんぐりむっくり,,"zungurimukkuri_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
tendenbarabara_1,siegel,0,19-jan-04,na-adj-lex,てんでんばらばら,てんでんばらばら,,"tendenbarabara_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
mojamoja_4,siegel,0,19-jan-04,na-adj-lex,もじゃもじゃ,もじゃもじゃ,,"mojamoja_4",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
mutto_2,siegel,0,19-jan-04,scopal-adv-lex,むっと,むっと,,"mutto_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
douse-adv,siegel,0,19-jan-04,scopal-adv-regular-lex,どうせ,どうせ,,"douse",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
gyuugyuu_1,siegel,0,19-jan-04,scopal-adv-lex,ぎゅうぎゅう,ぎゅうぎゅう,,"gyuugyuu_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
yuubi_1,siegel,0,19-jan-04,na-adj-lex,優美,優美,,"yuubi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
seijitsu_2,siegel,0,19-jan-04,na-adj-lex,誠実,誠実,,"seijitsu_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
motoyori_1,siegel,0,19-jan-04,scopal-adv-lex,もとより,もとより,,"motoyori_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
pa-sonaru_2,siegel,0,19-jan-04,na-adj-lex,パーソナル,パーソナル,,"pa-sonaru_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
monohoshige_1,siegel,0,19-jan-04,na-adj-lex,物欲しげ,物欲しげ,,"monohoshige_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
nutto_1,siegel,0,19-jan-04,scopal-adv-lex,ぬっと,ぬっと,,"nutto_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
kudaranai-adj,siegel,0,19-jan-04,i-adj-stem-lex,くだらない,くだらない,,"kudaranai",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
hitonami_2,siegel,0,19-jan-04,na-adj-lex,人並み,人並み,,"hitonami_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
shimijimi_1,siegel,0,19-jan-04,scopal-adv-lex,しみじみ,しみじみ,,"shimijimi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
fuhei_2,siegel,0,19-jan-04,na-adj-lex,不平,不平,,"fuhei_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
fumei-adj,siegel,0,19-jan-04,na-adj-lex,不明,不明,,"fumei",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
monozuki_2,siegel,0,19-jan-04,na-adj-lex,物好き,物好き,,"monozuki_2",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
sonouchi_1,siegel,0,19-jan-04,scopal-adv-lex,その内,その内,,"sonouchi_1",,,,,,,,,,,,,,,,JA,JP,,,,,1,Japanese,1
